Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;prey_capture_type;MTgP;TMTgP;TgD;MSTgP; MATgP;MSTgR;MATgR;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;Tend_gape;T0_tongue;P0_tongue;Tmax_tongue;Tend_tongue;T0_hd1;Tmax_hd1;Tend_hd1;T0_hd2;Tmax_hd2;Tend_hd2
A_tigrinum_ind2_pince_seq7_criquet_cropped;T4;1.583463;0.106;67.85503;0.103;0.171;44.55141;3306.809;-45.16669; 2514.569;tg;0.603047;0.065; 0.105;20.34298; 974.0319;-41.32994;3115.269;0.069; 0.3797418;0.125;0.95;16.39457;753.0241;-8.048998;560.5927;0.07;0.6519995;0.132;1.027; 18.96303;701.1918; -8.63009;695.9568; 151.3212;0.064;1.097;yes;0.09;118.391775867578;0;0.106;0.171;0.013;0.9509787; 0.065; 0.118;0.069;0.125;1.019;0.07;0.132;1.097
A_tigrinum_ind2_pince_seq8_criquet_cropped;T4; 1.634841;0.101;69.62218;0.096;0.168;43.66596;2791.82;-43.44237;2275.234;tg;0.4660715; 0.06;0.099;18.79083; 1068.121;-33.6074; 1581.034;0.068;0.4209326;0.123;0.912;13.80048;555.5907; -9.794247; 619.8473;0.068;0.5490025; 0.13;1.116;19.74765; 663.9334;-9.276624; 571.034; 149.9163;0.06;1.184;yes;0.11;117.855554763015;0.03; 0.131;0.198;0.046;1.059284;0.09;0.145;0.098;0.153;1.01;0.098;0.16; 1.214
A_tigrinum_ind2_pince_seq9_criquet_cropped;T4;1.557209;0.139;62.60109;0.139;0.227; 33.6478; 1930.632; -34.40875;1502.192;tg;0.9784502;0.078;0.132;31.98906; 1842.304;-29.56751; 1386.45;0.109;0.3598558;0.629;1.424;7.908704;511.3494;-0.6480489;42.38844;0.093;0.8707694;0.172;1.289;25.00895;1120.669; -5.382185;399.6167;146.0437;0.13;1.533;yes;0.37;119.621551508673;0.068;0.207;0.295;0.088;0.9830179;0.146;0.22; 0.177;0.697;1.601;0.161;0.24;1.45
A_tigrinum_ind2_pince_seq10_criquet_cropped;T4; 1.050613;0.057;36.90061;0.059;0.24; 40.35293;2924.716;-12.19119;317.7951;jaws;1.238866;0.063; 0.117; 50.89338;5591.56; -24.26155;758.7028;0.081;0.1860608; 0.299; 1.572;5.07346;345.9924;-0.5947911; 38.4514;0.088;0.3647354;0.209; 1.565;9.581996; 627.3209;-0.9286623; 65.79751; 150.8347;0.057;1.653;yes;0;138.138955481944;0;0.057;0.24;0.015;0.4870078;0.063;0.132;0.081;0.299;1.653; 0.088; 0.209;1.653
A_tigrinum_ind2_sans_pince_seq6_criquet_cropped;T4; 1.595732;0.185;72.70687;0.218;0.316;52.73395; 5849.26;-19.16842;729.6582;tg;1.09002;0.055;0.279;49.22334;9030.267;-16.02112;1025.843; 0.065;0.4532733;0.221;0.784;8.493198;767.1661;-4.129834;499.8792;0.089;0.2655978;0.219;0.808; 7.949041; 677.6799; -3.244394;304.6747;148.459;0.184;0.897;no;0.59;121.218153168427;0.029;0.214; 0.345;0.029;0.5250669;0.084;0.308;0.094;0.25;0.878;0.118;0.248; 0.926
A_tigrinum_ind2_sans_pince_seq8_criquet_cropped;T4;1.535198;0.126;75.64691;0.126;0.194;38.37154; 3214.049; -42.86307;2916.637;tg;0.4685106;0.083;0.109;13.9442; 1333.342; -38.8433;3528.874;0.095;0.2890762;0.141; 0.855;13.15036; 940.4987; -8.420923;820.0859; 0.083;0.7143282; 0.152;1.026;22.04661;1035.889; -10.00839;860.4547;134.8588; 0.111; 1.109;no;0.16;117.205341004865; 0.013;0.139; 0.207;0.03;0.9987777;0.096;0.139;0.108; 0.154;0.963;0.096;0.165;1.122
A_tigrinum_ind2_sans_pince_seq10_criquet_cropped;T4;2.229035;0.258;75.39229; 0.261;0.439; 57.06574;4773.909;-28.82559;1399.295;tg;0.7391562;0.08;0.296; 22.94713; 2011.4; -30.59503; 1875.742;0.149;0.2120348; 0.682; 1.121;13.67407; 872.5809;-1.778367;186.9143; 0.167;0.8336422;0.277;1.149;29.63497;1622.26; -10.18118; 701.3304;159.4476;0.103; 1.316;no;1.41;135.614188688417;0.011;0.269; 0.45;0.025;1.486675;0.091;0.321;0.16;0.693; 1.281;0.178;0.288;1.327
A_tigrinum_ind2_sans_pince_seq12_criquet_cropped;T4;1.976231;0.185;72.83688;0.183; 0.299;44.56706;2960.715;-38.17129;1432.758;tg;0.9606132;0.109;0.199;22.08525;1396.04;-31.31224;1268.001;0.137; 0.4566345;0.206; 1.374;14.11122;645.7846;-7.312111; 302.8389;0.122; 0.8206736; 0.217;1.389;15.03943;408.6653;-7.290068;392.3189; 152.4189;0.143;1.511;no;1.35;130.598049402605;0.012; 0.197;0.311;0.018; 1.2213;0.121; 0.217;0.149;0.218;1.523; 0.134; 0.229; 1.523
A_tigrinum_ind3_pince_seq1_criquet_lumiere_bof_cropped;T5;1.811979;0.078; 64.42861;0.077;0.137;73.15777;9556.033; -60.15406;5240.532;tg;0.8301583;0.8301583;0.078;33.87041; 4952.06;-37.00429; 2152.717; 0.056;0.2299955;0.41;0.588;7.091436;1498.314;-1.959746;316.5356;0.056;0.2274249;0.203; 0.588; 10.31326;2012.092;-3.649798;519.0352;152.3376;0.079;0.644;yes;0.33;115.261567031488;0.017; 0.095;0.154;0.025;0.6870944; 0.073; 0.103;0.073; 0.427; 0.661;0.073;0.22;0.661
A_tigrinum_ind3_pince_seq2_criquet_cropped;T5;1.934302;0.116;73.73762;0.119;0.245;59.47937;4766.01;-50.86705;2644.61;jaws;0.9237869;0.079;0.144;25.81137;1460.635;-30.87261;2716.803;0.079; 0.5177399; 0.138;1.292; 9.59975;466.3614; -7.15499;763.0572; 0.079;0.8445017; 0.154;1.292; 15.42336; 525.7028;-6.387972; 477.2081;150.8511;0.11; 1.371;yes;0.58;125.658548255563;0;0.116;0.245; 0.008;1.113432;0.079;0.152;0.079;0.138;1.371;0.079;0.154;1.371
